category_id,Category,Domain,Baseline (kg CO₂e/cap),Behavioural reduction,Technological reduction,Combined reduction,Max adoption (L),Adoption speed (k),Inflection year (t₀),Assumption note,Activity metric,Activity unit,"Baseline activity M0,c","Baseline intensity I0,c (kgCO2e/unit)",Activity data source,Confidence flag
local_transport_motorcycles,Local transport - Motorcycles,Local transport,5.079291,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0712,"SEK/cap/year (national average, 2021)",329.1,0.01543,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_insurance,Other consumption - Insurance,Other consumption,5.017043,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,125,"SEK/cap/year (national average, 2021)",2904.9,0.00173,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
clothing_and_shoes_clothing_materials,Clothing and shoes - Clothing materials,Clothing and shoes,4.7143,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0311,"SEK/cap/year (national average, 2021)",107.0,0.04406,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
leisure_sport_and_culture_leisure_goods_rental_maintenance_and_repair,"Leisure, sport and culture - Leisure goods: rental, maintenance and repair","Leisure, sport and culture",4.214779,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0923,"SEK/cap/year (national average, 2021)",264.2,0.01595,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_medical_products,Other consumption - Medical products,Other consumption,4.067291,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0612,"SEK/cap/year (national average, 2021)",347.4,0.01171,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_narcotics,Food and drink - Narcotics,Food and drink,3.772807,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,023,"SEK/cap/year (national average, 2021)",179.3,0.02104,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_electric_appliances_for_personal_care,Other consumption - Electric appliances for personal care,Other consumption,3.753629,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,1212,"SEK/cap/year (national average, 2021)",97.5,0.0385,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
local_transport_other_transport_of_goods,Local transport - Other transport of goods,Local transport,3.523439,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0736,"SEK/cap/year (national average, 2021)",286.9,0.01228,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",SHARED - 0736 combined with Other passenger transport services | SEK/cap split proportionally to baseline emissions share across 2 peers.
leisure_sport_and_culture_services_for_pets,"Leisure, sport and culture - Services for pets","Leisure, sport and culture",3.281919,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0935,"SEK/cap/year (national average, 2021)",770.7,0.00426,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_tea_mate_and_other_herbal_teas,"Food and drink - Tea, maté and other herbal teas",Food and drink,3.254937,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0121,"SEK/cap/year (national average, 2021)",117.3,0.02774,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",SHARED - 0121 combined with Coffee & Chocolate drinks | SEK/cap split proportionally to baseline emissions share across 3 peers.
leisure_sport_and_culture_photographic_and_optical_equipment,"Leisure, sport and culture - Photographic and optical equipment","Leisure, sport and culture",3.108459,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0912,"SEK/cap/year (national average, 2021)",174.0,0.01786,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_education_services,Other consumption - Education services,Other consumption,2.819503,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,101,"SEK/cap/year (national average, 2021)",679.8,0.00415,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
housing_actual_rents_for_other_dwellings_garages_and_storage,"Housing - Actual rents for other dwellings, garages and storage",Housing,2.796477,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0412,"SEK/cap/year (national average, 2021)",8911.5,0.00031,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",LOW-CONF - 0412 mixes secondary-residence rentals paid & tenant-owner payments; approximate
other_consumption_software,Other consumption - Software,Other consumption,1.896521,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,,,,,No COICOP counterpart at 4-digit resolution,NOMATCH - 1.897 kg/cap; residual limitation
leisure_sport_and_culture_audiovisual_media,"Leisure, sport and culture - Audiovisual media","Leisure, sport and culture",1.877962,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0914,"SEK/cap/year (national average, 2021)",264.5,0.0071,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",LOW-CONF - Legacy physical-media COICOP line; poor proxy for streaming-era audiovisual consumption
local_transport_postal_and_courier_services,Local transport - Postal and courier services,Local transport,1.636122,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0811,"SEK/cap/year (national average, 2021)",199.5,0.0082,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_other_alcoholic_beverages,Food and drink - Other alcoholic beverages,Food and drink,1.514244,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,,,,,No COICOP counterpart at 4-digit resolution,NOMATCH - 1.514 kg/cap; residual limitation
local_transport_driving_lessons_driving_licences_and_vehicle_inspections,"Local transport - Driving lessons, driving licences and vehicle inspections",Local transport,1.354722,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,"07241, 07242","SEK/cap/year (national average, 2021)",547.0,0.00248,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
leisure_sport_and_culture_musical_instruments,"Leisure, sport and culture - Musical instruments","Leisure, sport and culture",1.248173,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0922,"SEK/cap/year (national average, 2021)",93.4,0.01336,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_chocolate_drinks,Food and drink - Chocolate drinks,Food and drink,0.902968,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0121,"SEK/cap/year (national average, 2021)",32.5,0.02774,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",SHARED - 0121 combined with Coffee & Tea | SEK/cap split proportionally to baseline emissions share across 3 peers.
other_consumption_inpatient_curative_and_rehabilitative_services,Other consumption - Inpatient curative and rehabilitative services,Other consumption,0.834667,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,063,"SEK/cap/year (national average, 2021)",190.5,0.00438,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
local_transport_road_tolls,Local transport - Road tolls,Local transport,0.802085,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,07243,"SEK/cap/year (national average, 2021)",78.3,0.01024,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_childcare_services,Other consumption - Childcare services,Other consumption,0.747856,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,12401,"SEK/cap/year (national average, 2021)",364.9,0.00205,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
local_transport_other_passenger_transport_services,Local transport - Other passenger transport services,Local transport,0.566234,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0736,"SEK/cap/year (national average, 2021)",46.1,0.01228,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",SHARED - 0736 combined with Other transport of goods | SEK/cap split proportionally to baseline emissions share across 2 peers.
other_consumption_preventive_care_services,Other consumption - Preventive care services,Other consumption,0.522673,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,,,,,No COICOP counterpart at 4-digit resolution,NOMATCH - 0.523 kg/cap; residual limitation
leisure_sport_and_culture_miscellaneous_printed_matter,"Leisure, sport and culture - Miscellaneous printed matter","Leisure, sport and culture",0.504459,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0953,"SEK/cap/year (national average, 2021)",66.3,0.00761,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_religious_and_ritual_articles,Other consumption - Religious and ritual articles,Other consumption,0.42365,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,,,,,No COICOP counterpart at 4-digit resolution,NOMATCH - 0.424 kg/cap; residual limitation
housing_liquid_fuels,Housing - Liquid fuels,Housing,0.368585,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0453,"SEK/cap/year (national average, 2021)",100.6,0.00366,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
housing_solid_fuels,Housing - Solid fuels,Housing,0.21005,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0454,"SEK/cap/year (national average, 2021)",306.2,0.00069,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
clothing_and_shoes_laundry_repair_and_rental_of_clothing,"Clothing and shoes - Laundry, repair and rental of clothing",Clothing and shoes,0.065814,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0314,"SEK/cap/year (national average, 2021)",139.2,0.00047,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
clothing_and_shoes_cleaning_repair_and_rental_of_footwear,"Clothing and shoes - Cleaning, repair and rental of footwear",Clothing and shoes,0.057527,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0322,"SEK/cap/year (national average, 2021)",7.7,0.00747,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
housing_gas,Housing - Gas,Housing,0.002579,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0452,"SEK/cap/year (national average, 2021)",103.2,2e-05,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
