scenario_id,scenario_name,year,domain,baseline_tco2e_per_capita,emissions_tco2e_per_capita,reduction_tco2e_per_capita
S4,Scenario 4,2030,Carbon capture placeholder,0.0,0.0,0.0
S4,Scenario 4,2050,Carbon capture placeholder,0.0,0.0,0.0
S4,Scenario 4,2030,Clothing and shoes,0.24952881100000002,0.12390534388518201,0.125623467114818
S4,Scenario 4,2050,Clothing and shoes,0.24952881100000002,0.024429048825952183,0.2250997621740478
S4,Scenario 4,2030,Flights,0.8498395000000001,0.45678873125,0.39305076875000006
S4,Scenario 4,2050,Flights,0.8498395000000001,0.06400158175316041,0.7858379182468397
S4,Scenario 4,2030,Food and drink,1.371079645,0.7713314665497341,0.5997481784502658
S4,Scenario 4,2050,Food and drink,1.371079645,0.29641441378104044,1.0746652312189597
S4,Scenario 4,2030,Housing,1.0374849240000001,0.6169297874120812,0.4205551365879188
S4,Scenario 4,2050,Housing,1.0374849240000001,0.23384361560386677,0.8036413083961332
S4,Scenario 4,2030,"Leisure, sport and culture",0.406483705,0.22758372711743044,0.17889997788256953
S4,Scenario 4,2050,"Leisure, sport and culture",0.406483705,0.08591985336308952,0.3205638516369105
S4,Scenario 4,2030,Local transport,0.9108420979999999,0.4713798460985884,0.4394622519014115
S4,Scenario 4,2050,Local transport,0.9108420979999999,0.12338693011273566,0.7874551678872643
S4,Scenario 4,2030,Other consumption,0.9101778890000001,0.5319239504025792,0.37825393859742085
S4,Scenario 4,2050,Other consumption,0.9101778890000001,0.2323994963541803,0.6777783926458197
