scenario_id,scenario_name,year,emissions_tco2e_per_capita,target_tco2e_per_capita,gap_tco2e_per_capita
S1,Scenario 1,2026,5.735436571999992,3.1,2.635436571999992
S1,Scenario 1,2027,5.735436571999992,3.1,2.635436571999992
S1,Scenario 1,2028,5.735436571999992,3.1,2.635436571999992
S1,Scenario 1,2029,5.735436571999992,3.1,2.635436571999992
S1,Scenario 1,2030,5.735436571999992,3.1,2.635436571999992
S1,Scenario 1,2031,5.735436571999992,2.995,2.740436571999992
S1,Scenario 1,2032,5.735436571999992,2.89,2.845436571999992
S1,Scenario 1,2033,5.735436571999992,2.785,2.950436571999992
S1,Scenario 1,2034,5.735436571999992,2.68,3.055436571999992
S1,Scenario 1,2035,5.735436571999992,2.575,3.160436571999992
S1,Scenario 1,2036,5.735436571999992,2.47,3.265436571999992
S1,Scenario 1,2037,5.735436571999992,2.365,3.370436571999992
S1,Scenario 1,2038,5.735436571999992,2.26,3.4754365719999925
S1,Scenario 1,2039,5.735436571999992,2.1550000000000002,3.580436571999992
S1,Scenario 1,2040,5.735436571999992,2.05,3.6854365719999924
S1,Scenario 1,2041,5.735436571999992,1.9449999999999998,3.7904365719999924
S1,Scenario 1,2042,5.735436571999992,1.84,3.8954365719999924
S1,Scenario 1,2043,5.735436571999992,1.7349999999999999,4.000436571999993
S1,Scenario 1,2044,5.735436571999992,1.6300000000000001,4.105436571999992
S1,Scenario 1,2045,5.735436571999992,1.525,4.210436571999992
S1,Scenario 1,2046,5.735436571999992,1.42,4.315436571999992
S1,Scenario 1,2047,5.735436571999992,1.3150000000000002,4.420436571999992
S1,Scenario 1,2048,5.735436571999992,1.21,4.525436571999992
S1,Scenario 1,2049,5.735436571999992,1.1050000000000002,4.630436571999992
S1,Scenario 1,2050,5.735436571999992,1.0,4.735436571999992
S2,Scenario 2,2026,5.638204419282155,3.1,2.5382044192821547
S2,Scenario 2,2027,5.59686808984592,3.1,2.4968680898459197
S2,Scenario 2,2028,5.52818905178603,3.1,2.42818905178603
S2,Scenario 2,2029,5.413981907515133,3.1,2.313981907515133
S2,Scenario 2,2030,5.251783392727327,3.1,2.1517833927273267
S2,Scenario 2,2031,5.08026148993502,2.995,2.0852614899350197
S2,Scenario 2,2032,4.938722769962675,2.89,2.048722769962675
S2,Scenario 2,2033,4.826633982362015,2.785,2.041633982362015
S2,Scenario 2,2034,4.729007541018065,2.68,2.049007541018065
S2,Scenario 2,2035,4.637355780607985,2.575,2.0623557806079846
S2,Scenario 2,2036,4.550096718515968,2.47,2.0800967185159682
S2,Scenario 2,2037,4.468784279309105,2.365,2.103784279309105
S2,Scenario 2,2038,4.395559511176708,2.26,2.135559511176708
S2,Scenario 2,2039,4.331933677632357,2.1550000000000002,2.1769336776323565
S2,Scenario 2,2040,4.278425368768388,2.05,2.228425368768388
S2,Scenario 2,2041,4.234666342922784,1.9449999999999998,2.2896663429227844
S2,Scenario 2,2042,4.199693930508623,1.84,2.359693930508623
S2,Scenario 2,2043,4.172253922739088,1.7349999999999999,2.4372539227390884
S2,Scenario 2,2044,4.151033066674061,1.6300000000000001,2.521033066674061
S2,Scenario 2,2045,4.134804230320456,1.525,2.609804230320456
S2,Scenario 2,2046,4.122498524504496,1.42,2.702498524504496
S2,Scenario 2,2047,4.113227523160013,1.3150000000000002,2.798227523160013
S2,Scenario 2,2048,4.106276460131627,1.21,2.8962764601316273
S2,Scenario 2,2049,4.101083445593977,1.1050000000000002,2.9960834455939764
S2,Scenario 2,2050,4.097214070167481,1.0,3.097214070167481
S3,Scenario 3,2026,5.257891424973828,3.1,2.1578914249738284
S3,Scenario 3,2027,5.109475524513059,3.1,2.0094755245130593
S3,Scenario 3,2028,4.917184248893158,3.1,1.8171842488931582
S3,Scenario 3,2029,4.66834205155126,3.1,1.56834205155126
S3,Scenario 3,2030,4.369603906749995,3.1,1.2696039067499947
S3,Scenario 3,2031,4.070865761948736,2.995,1.0758657619487355
S3,Scenario 3,2032,3.8220235646068383,2.89,0.9320235646068382
S3,Scenario 3,2033,3.6297322889869372,2.785,0.8447322889869371
S3,Scenario 3,2034,3.4813163885261673,2.68,0.8013163885261672
S3,Scenario 3,2035,3.3659639761371154,2.575,0.7909639761371152
S3,Scenario 3,2036,3.276605433186845,2.47,0.8066054331868449
S3,Scenario 3,2037,3.2080296380288993,2.365,0.8430296380288991
S3,Scenario 3,2038,3.1559467967825197,2.26,0.8959467967825199
S3,Scenario 3,2039,3.11674667637916,2.1550000000000002,0.9617466763791596
S3,Scenario 3,2040,3.087450563990968,2.05,1.0374505639909684
S3,Scenario 3,2041,3.065668717262946,1.9449999999999998,1.1206687172629461
S3,Scenario 3,2042,3.049530894559626,1.84,1.2095308945596257
S3,Scenario 3,2043,3.0376014366301267,1.7349999999999999,1.3026014366301268
S3,Scenario 3,2044,3.0287939061673614,1.6300000000000001,1.3987939061673613
S3,Scenario 3,2045,3.022294511145303,1.525,1.497294511145303
S3,Scenario 3,2046,3.0174980275628096,1.42,1.5974980275628097
S3,Scenario 3,2047,3.0139565227561436,1.3150000000000002,1.6989565227561434
S3,Scenario 3,2048,3.011339518089564,1.21,1.8013395180895642
S3,Scenario 3,2049,3.009403651186634,1.1050000000000002,1.904403651186634
S3,Scenario 3,2050,3.0079698847883862,1.0,2.0079698847883862
S4,Scenario 4,2026,4.368974181983453,3.1,1.2689741819834528
S4,Scenario 4,2027,4.142423426304761,3.1,1.0424234263047611
S4,Scenario 4,2028,3.8771484902032833,3.1,0.7771484902032832
S4,Scenario 4,2029,3.5609650152610612,3.1,0.46096501526106115
S4,Scenario 4,2030,3.1998428527155953,3.1,0.09984285271559523
S4,Scenario 4,2031,2.8421119003961524,2.995,-0.15288809960384775
S4,Scenario 4,2032,2.5358403567015917,2.89,-0.35415964329840843
S4,Scenario 4,2033,2.28625475188862,2.785,-0.4987452481113803
