scenario_id,scenario_name,year,emissions_tco2e_per_capita,target_tco2e_per_capita,gap_vs_target_tco2e_per_capita,reduction_from_baseline_tco2e_per_capita,reduction_from_baseline_pct
S1,Scenario 1,2026,5.735436571999992,3.1,2.635436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2027,5.735436571999992,3.1,2.635436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2028,5.735436571999992,3.1,2.635436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2029,5.735436571999992,3.1,2.635436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2030,5.735436571999992,3.1,2.635436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2031,5.735436571999992,2.995,2.740436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2032,5.735436571999992,2.89,2.845436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2033,5.735436571999992,2.785,2.950436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2034,5.735436571999992,2.68,3.055436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2035,5.735436571999992,2.575,3.160436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2036,5.735436571999992,2.47,3.265436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2037,5.735436571999992,2.365,3.370436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2038,5.735436571999992,2.26,3.4754365719999925,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2039,5.735436571999992,2.1550000000000002,3.580436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2040,5.735436571999992,2.05,3.6854365719999924,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2041,5.735436571999992,1.9449999999999998,3.7904365719999924,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2042,5.735436571999992,1.84,3.8954365719999924,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2043,5.735436571999992,1.7349999999999999,4.000436571999993,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2044,5.735436571999992,1.6300000000000001,4.105436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2045,5.735436571999992,1.525,4.210436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2046,5.735436571999992,1.42,4.315436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2047,5.735436571999992,1.3150000000000002,4.420436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2048,5.735436571999992,1.21,4.525436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2049,5.735436571999992,1.1050000000000002,4.630436571999992,7.993605777301127e-15,1.3937222872144295e-13
S1,Scenario 1,2050,5.735436571999992,1.0,4.735436571999992,7.993605777301127e-15,1.3937222872144295e-13
S2,Scenario 2,2026,5.638204419282155,3.1,2.5382044192821547,0.09723215271784547,1.6952877343727595
S2,Scenario 2,2027,5.59686808984592,3.1,2.4968680898459197,0.13856848215408046,2.4160058334628283
S2,Scenario 2,2028,5.52818905178603,3.1,2.42818905178603,0.2072475202139703,3.6134567545518363
S2,Scenario 2,2029,5.413981907515133,3.1,2.313981907515133,0.32145466448486726,5.604711349336273
S2,Scenario 2,2030,5.251783392727327,3.1,2.1517833927273267,0.4836531792726735,8.432717774856659
S2,Scenario 2,2031,5.08026148993502,2.995,2.0852614899350197,0.6551750820649804,11.423281799741265
S2,Scenario 2,2032,4.938722769962675,2.89,2.048722769962675,0.796713802037325,13.891075108856159
S2,Scenario 2,2033,4.826633982362015,2.785,2.041633982362015,0.9088025896379852,15.84539517139281
S2,Scenario 2,2034,4.729007541018065,2.68,2.049007541018065,1.006429030981935,17.547557511057676
S2,Scenario 2,2035,4.637355780607985,2.575,2.0623557806079846,1.0980807913920154,19.145548514175346
S2,Scenario 2,2036,4.550096718515968,2.47,2.0800967185159682,1.1853398534840318,20.666950782278334
S2,Scenario 2,2037,4.468784279309105,2.365,2.103784279309105,1.2666522926908952,22.084670918942823
S2,Scenario 2,2038,4.395559511176708,2.26,2.135559511176708,1.3398770608232926,23.361378754748653
