scenario_id,scenario_name,transition_logic,active_categories,active_baseline_coverage_pct,emissions_2030_tco2e_per_capita,gap_2030_tco2e_per_capita,emissions_2050_tco2e_per_capita,gap_2050_tco2e_per_capita
S1,Scenario 1,Limited change / static reference,0,0.0,5.735436571999992,2.635436571999992,5.735436571999992,4.735436571999992
S2,Scenario 2,Major-emission-category focus,9,45.044548702926534,5.251783392727327,2.1517833927273267,4.097214070167481,3.097214070167481
S3,Scenario 3,Lifestyle-centred transition,31,71.41665053008627,4.369603906749995,1.2696039067499947,3.0079698847883862,2.0079698847883862
S4,Scenario 4,Coordinated target-seeking transition,109,99.99851448100016,3.1998428527155953,0.09984285271559523,1.0603949397940255,0.06039493979402555
