scenario_id,scenario_name,year,category_id,category,domain,baseline_kgco2e_per_capita,adoption_fraction,combined_reduction_fraction,emissions_kgco2e_per_capita,reduction_kgco2e_per_capita
S1,Scenario 1,2026,leisure_sport_and_culture_major_durable_goods_for_leisure,"Leisure, sport and culture - Major durable goods for leisure","Leisure, sport and culture",28.39759,0.0,0.0,28.39759,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_games_of_chance_betting_and_lotteries,"Leisure, sport and culture - Games of chance, betting and lotteries","Leisure, sport and culture",26.75462,0.0,0.0,26.75462,0.0
S1,Scenario 1,2026,other_consumption_glassware_tableware_and_other_utensils,"Other consumption - Glassware, tableware and other utensils",Other consumption,26.46434,0.0,0.0,26.46434,0.0
S1,Scenario 1,2026,housing_maintenance_repair_and_security,"Housing - Maintenance, repair and security",Housing,23.56363,0.0,0.0,23.56363,0.0
S1,Scenario 1,2026,food_and_drink_soft_drinks,Food and drink - Soft drinks,Food and drink,26.06581,0.0,0.0,26.06581,0.0
S1,Scenario 1,2026,other_consumption_hairdressing_salons_and_personal_grooming_establishments,Other consumption - Hairdressing salons and personal grooming establishments,Other consumption,25.57508,0.0,0.0,25.57508,0.0
S1,Scenario 1,2026,housing_imputed_rent_for_holiday_homes_other_dwellings_garages_and_storage,"Housing - Imputed rent for holiday homes, other dwellings, garages and storage",Housing,24.46403,0.0,0.0,24.46403,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_equipment_for_sport_camping_and_outdoor_recreation,"Leisure, sport and culture - Equipment for sport, camping and outdoor recreation","Leisure, sport and culture",23.05441,0.0,0.0,23.05441,0.0
S1,Scenario 1,2026,other_consumption_household_textiles,Other consumption - Household textiles,Other consumption,22.88734,0.0,0.0,22.88734,0.0
S1,Scenario 1,2026,local_transport_spare_parts_and_accessories,Local transport - Spare parts and accessories,Local transport,21.64835,0.0,0.0,21.64835,0.0
S1,Scenario 1,2026,local_transport_road_transport_services_car_pools_buses_and_taxis,"Local transport - Road transport services: car pools, buses and taxis",Local transport,24.06002,0.0,0.0,24.06002,0.0
S1,Scenario 1,2026,other_consumption_home_and_garden_tools,Other consumption - Home and garden tools,Other consumption,20.05375,0.0,0.0,20.05375,0.0
S1,Scenario 1,2026,other_consumption_financial_services,Other consumption - Financial services,Other consumption,19.67818,0.0,0.0,19.67818,0.0
S1,Scenario 1,2026,local_transport_company_car_benefit,Local transport - Company-car benefit,Local transport,18.5096,0.0,0.0,18.5096,0.0
S1,Scenario 1,2026,food_and_drink_coffee_and_coffee_substitutes,Food and drink - Coffee and coffee substitutes,Food and drink,19.9522,0.0,0.0,19.9522,0.0
S1,Scenario 1,2026,clothing_and_shoes_other_garments_and_clothing_accessories,Clothing and shoes - Other garments and clothing accessories,Clothing and shoes,16.67224,0.0,0.0,16.67224,0.0
S1,Scenario 1,2026,local_transport_rental_of_personal_transport_equipment,Local transport - Rental of personal transport equipment,Local transport,14.95851,0.0,0.0,14.95851,0.0
S1,Scenario 1,2026,food_and_drink_strong_beer,Food and drink - Strong beer,Food and drink,15.00377,0.0,0.0,15.00377,0.0
S1,Scenario 1,2026,other_consumption_other_personal_effects_n_e_c,Other consumption - Other personal effects n.e.c.,Other consumption,14.23978,0.0,0.0,14.23978,0.0
S1,Scenario 1,2026,food_and_drink_spirits,Food and drink - Spirits,Food and drink,13.04753,0.0,0.0,13.04753,0.0
S1,Scenario 1,2026,other_consumption_jewellery_and_watches,Other consumption - Jewellery and watches,Other consumption,12.24788,0.0,0.0,12.24788,0.0
S1,Scenario 1,2026,local_transport_passenger_transport_by_rail_and_tram,Local transport - Passenger transport by rail and tram,Local transport,12.47695,0.0,0.0,12.47695,0.0
S1,Scenario 1,2026,local_transport_bicycles,Local transport - Bicycles,Local transport,11.50822,0.0,0.0,11.50822,0.0
S1,Scenario 1,2026,other_consumption_outpatient_dental_services,Other consumption - Outpatient dental services,Other consumption,10.06935,0.0,0.0,10.06935,0.0
S1,Scenario 1,2026,other_consumption_other_services,Other consumption - Other services,Other consumption,9.468639,0.0,0.0,9.468639,0.0
S1,Scenario 1,2026,other_consumption_medical_aids_and_maintenance,Other consumption - Medical aids and maintenance,Other consumption,9.377794,0.0,0.0,9.377794,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_cultural_services,"Leisure, sport and culture - Cultural services","Leisure, sport and culture",8.467172,0.0,0.0,8.467172,0.0
S1,Scenario 1,2026,other_consumption_home_care_for_older_people_and_people_with_disabilities,Other consumption - Home care for older people and people with disabilities,Other consumption,7.755833,0.0,0.0,7.755833,0.0
S1,Scenario 1,2026,housing_direct_household_emissions,Housing - Direct household emissions,Housing,7.144203,0.0,0.0,7.144203,0.0
S1,Scenario 1,2026,other_consumption_other_outpatient_care_services,Other consumption - Other outpatient care services,Other consumption,7.461947,0.0,0.0,7.461947,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_newspapers_and_periodicals,"Leisure, sport and culture - Newspapers and periodicals","Leisure, sport and culture",7.724998,0.0,0.0,7.724998,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_books,"Leisure, sport and culture - Books","Leisure, sport and culture",7.58624,0.0,0.0,7.58624,0.0
